x	y	label	showSelected1
-2.5	5	5 stations	1971
-2.5	5	12 stations	1972
-2.5	5	8 stations	1973
-2.5	5	8 stations	1974
-2.5	5	7 stations	1975
-2.5	5	18 stations	1976
-2.5	5	35 stations	1977
-2.5	5	73 stations	1978
-2.5	5	48 stations	1979
-2.5	5	12 stations	1980
-2.5	5	6 stations	1981
-2.5	5	1 station	1984
-2.5	5	5 stations	1991
-2.5	5	8 stations	1992
-2.5	5	15 stations	1993
-2.5	5	26 stations	1994
-2.5	5	22 stations	1995
-2.5	5	22 stations	1996
-2.5	5	14 stations	1997
-2.5	5	15 stations	1998
-2.5	5	25 stations	1999
-2.5	5	37 stations	2000
-2.5	5	24 stations	2001
-2.5	5	21 stations	2002
-2.5	5	29 stations	2003
-2.5	5	52 stations	2004
-2.5	5	65 stations	2005
-2.5	5	2 stations	2006
-2.5	5	1 station	2010
-2.5	5	1 station	2018
-2.5	5	11 stations	2021
-2.5	5	9 stations	2024
-2.5	5	4 stations	2025
-2.5	5	5 stations	2026
-2.5	5	7 stations	2027
-2.5	5	4 stations	2028
-2.5	5	5 stations	2029
-2.5	5	8 stations	2030
-2.5	5	12 stations	2031
-2.5	5	9 stations	2032
-2.5	5	5 stations	2033
-2.5	5	6 stations	2034
-2.5	5	6 stations	2035
-2.5	5	9 stations	2036
-2.5	5	2 stations	2037
-2.5	5	3 stations	2038
-2.5	5	2 stations	2039
-2.5	5	3 stations	2040
-2.5	5	10 stations	2041
-2.5	5	7 stations	2042
-2.5	5	8 stations	2043
-2.5	5	10 stations	2044
-2.5	5	11 stations	2045
-2.5	5	6 stations	2046
-2.5	5	4 stations	2047
-2.5	5	14 stations	2048
-2.5	5	21 stations	2049
-2.5	5	53 stations	2050
-2.5	5	39 stations	2051
-2.5	5	10 stations	2052
-2.5	5	25 stations	2053
-2.5	5	15 stations	2054
-2.5	5	1 station	2055
-2.5	5	1 station	2056
-2.5	5	1 station	2060
-2.5	5	6 stations	2064
-2.5	5	3 stations	2065
-2.5	5	3 stations	2066
-2.5	5	2 stations	2067
-2.5	5	1 station	2068
-2.5	5	2 stations	2069
-2.5	5	4 stations	2070
-2.5	5	4 stations	2071
-2.5	5	11 stations	2072
-2.5	5	19 stations	2073
-2.5	5	17 stations	2074
